datetime,MW,80GAW,26WIS,26WOS,dTemp,k,Q
2020-02-13 15:00:00,70.1,4854.22,29.05,26.3,2.75,249.86,926.2
2020-02-13 16:00:00,70.04,4868.03,29.24,26.36,2.88,249.86,974.52
2020-02-13 17:00:00,41.11,3103.07,26.77,29.08,2.32,249.86,498.87
2020-02-13 18:00:00,48.83,2978.46,26.83,29.31,2.48,249.86,512.39
2020-02-13 19:00:00,93.21,4890.02,29.93,27.21,2.72,249.86,923.95
2020-02-13 20:00:00,92.44,4892.82,30.28,26.93,3.35,249.86,1137.85
2020-02-13 21:00:00,92.15,5078.28,26.75,30.51,3.76,249.86,1324.8
2020-02-13 22:00:00,92.04,5091.03,26.45,30.76,4.31,249.86,1523.17
2020-02-13 23:00:00,91.96,4931.4,30.13,27.22,2.91,249.86,997
2020-02-14 00:00:00,91.98,4956.07,30.42,26.97,3.45,249.86,1186.59
2020-02-14 01:00:00,17.92,1574.74,27.49,28.93,1.43,249.86,156.7
2020-02-14 02:00:00,-0.01,1.68,28.03,28.63,0.6,249.86,0.07
2020-02-14 03:00:00,-0.01,1.64,28.34,28.75,0.41,249.86,0.05
2020-02-14 04:00:00,-0.01,1.6,28.6,28.87,0.27,249.86,0.03
2020-02-14 05:00:00,-0.01,1.64,28.83,28.98,0.15,249.86,0.02
2020-02-14 06:00:00,-0.01,1.61,29.03,29.09,0.05,249.86,0.01
2020-02-14 07:00:00,-0.01,24.68,29.21,29.19,0.02,249.86,0.04
2020-02-14 08:00:00,-0.01,117.13,28.31,27.5,0.81,249.86,6.56
2020-02-14 09:00:00,49.57,4232.36,26.76,29.31,2.55,249.86,748.01
2020-02-14 10:00:00,63.44,5142.48,26.33,30,3.67,249.86,1309.37
2020-02-14 11:00:00,62.74,4978.2,29.32,27.02,2.3,249.86,794.19
2020-02-14 12:00:00,0,0,0,0,0,249.86,0
2020-02-14 13:00:00,0,0,0,0,0,249.86,0
2020-02-14 14:00:00,70.02,5138.46,26.53,30.07,3.54,249.86,1264.22
2020-02-14 15:00:00,70.04,5011.99,29.47,27.22,2.25,249.86,782.55
2020-02-14 16:00:00,70.05,5024.48,29.74,27.04,2.7,249.86,941.14
2020-02-14 17:00:00,68.07,5111.46,26.82,30.01,3.19,249.86,1130.24
2020-02-14 18:00:00,62.07,5143.8,26.45,29.98,3.53,249.86,1259.86
2020-02-14 19:00:00,73.28,5011.94,29.39,27.2,2.19,249.86,762.4
2020-02-14 20:00:00,70.11,5042.83,29.71,27.01,2.71,249.86,947.94
2020-02-14 21:00:00,69.8,5101.07,26.74,29.93,3.19,249.86,1128.61
2020-02-14 22:00:00,64.41,5129.3,26.44,30.04,3.6,249.86,1281.3
2020-02-14 23:00:00,74.01,4974.72,29.4,27.14,2.26,249.86,781.31
2020-02-15 00:00:00,61.42,5019.88,29.59,26.87,2.72,249.86,948.72
2020-02-15 01:00:00,0,272.08,27.77,27.69,0.09,249.86,1.61
2020-02-15 02:00:00,-0.01,1.73,28.11,28.12,0.01,249.86,0
2020-02-15 03:00:00,-0.01,1.69,28.32,28.4,0.08,249.86,0.01
2020-02-15 04:00:00,-0.01,1.64,28.53,28.61,0.08,249.86,0.01
2020-02-15 05:00:00,-0.01,1.65,28.73,28.78,0.05,249.86,0.01
2020-02-15 06:00:00,-0.01,1.67,28.9,28.92,0.02,249.86,0
2020-02-15 07:00:00,-0.01,1.63,29.06,29.03,0.02,249.86,0
2020-02-15 08:00:00,-0.01,126.67,28.32,27.71,0.62,249.86,5.42
2020-02-15 09:00:00,38.02,3184.33,27.23,28.7,1.47,249.86,325.92
2020-02-15 10:00:00,66.28,5104.26,26.53,29.88,3.35,249.86,1186.87
2020-02-15 11:00:00,72.35,4958.75,29.38,27.23,2.15,249.86,739.89
2020-02-15 12:00:00,63.15,4399.63,29.51,27.05,2.46,249.86,750.69
2020-02-15 13:00:00,8.14,738.36,28.11,27.88,0.23,249.86,11.83
2020-02-15 14:00:00,79.11,5102.21,26.66,30.17,3.51,249.86,1243.71
2020-02-15 15:00:00,72.69,5023.36,29.67,27.34,2.33,249.86,810.61
2020-02-15 16:00:00,71.09,5038.65,29.77,27,2.77,249.86,969.8
2020-02-15 17:00:00,65.26,5126.03,26.81,30.01,3.2,249.86,1139.45
2020-02-15 18:00:00,66.45,5135.01,26.49,30.08,3.59,249.86,1277.8
2020-02-15 19:00:00,73.93,4996.39,29.45,27.19,2.26,249.86,782.75
2020-02-15 20:00:00,74.54,5013.77,29.67,26.93,2.74,249.86,953.36
2020-02-15 21:00:00,75.1,5100.81,26.7,29.98,3.27,249.86,1159.35
2020-02-15 22:00:00,75.09,5110.22,26.45,30.18,3.73,249.86,1323.53
2020-02-15 23:00:00,74.25,4941.97,29.44,27.07,2.37,249.86,812.87
2020-02-16 00:00:00,72.76,4975.53,29.7,26.88,2.82,249.86,974.77
2020-02-16 01:00:00,34.98,2918.03,27.05,28.76,1.71,249.86,346.31
2020-02-16 02:00:00,82.64,5070.73,26.45,30.14,3.68,249.86,1295.76
2020-02-16 03:00:00,53.93,3742.25,28.59,26.67,1.93,249.86,500.41
2020-02-16 04:00:00,-0.01,3.25,27.83,27.02,0.82,249.86,0.18
2020-02-16 05:00:00,-0.01,1.67,28.03,27.53,0.5,249.86,0.06
2020-02-16 06:00:00,59.83,3684.3,26.92,29.17,2.25,249.86,575.28
2020-02-16 07:00:00,64.25,4114.05,29.06,26.95,2.11,249.86,601.43
2020-02-16 08:00:00,-0.01,3.05,27.98,27.19,0.79,249.86,0.17
2020-02-16 09:00:00,-0.01,1.69,28.13,27.65,0.49,249.86,0.06
2020-02-16 10:00:00,-0.01,1.66,28.3,28.1,0.2,249.86,0.02
2020-02-16 11:00:00,-0.01,1.67,28.5,28.39,0.11,249.86,0.01
2020-02-16 12:00:00,-0.01,1.64,28.69,28.62,0.07,249.86,0.01
2020-02-16 13:00:00,28.26,2137.91,27.97,29.16,1.19,249.86,176.31
2020-02-16 14:00:00,80.35,5140.68,26.66,30.24,3.58,249.86,1276.86
2020-02-16 15:00:00,81.02,5022.24,29.87,27.46,2.41,249.86,840.77
2020-02-16 16:00:00,82.02,5047.29,30.19,27.26,2.94,249.86,1029.26
2020-02-16 17:00:00,67.26,5174.09,26.93,30.25,3.32,249.86,1191.58
2020-02-16 18:00:00,65.63,5200.86,26.57,30.25,3.69,249.86,1330.92
2020-02-16 19:00:00,70.17,5048.28,29.47,27.19,2.28,249.86,797.3
2020-02-16 20:00:00,70.75,5070.97,29.71,26.97,2.74,249.86,964.42
2020-02-16 21:00:00,73.1,5169.98,26.77,29.98,3.21,249.86,1152
2020-02-16 22:00:00,69.36,5193.52,26.46,30.13,3.67,249.86,1322.45
