datetime,fore24
2019-04-25,144.14
2019-04-26,144.05
2019-04-27,143.98
2019-04-28,143.91
2019-04-29,143.84
2019-04-30,143.76
2019-05-01,143.68
2019-05-02,143.6
2019-05-03,143.53
2019-05-04,143.44
2019-05-05,143.37
2019-05-06,143.29
2019-05-07,143.22
2019-05-08,143.15
2019-05-09,143.07
2019-05-10,142.99
2019-05-11,142.92
2019-05-12,142.86
2019-05-13,142.78
2019-05-14,142.71
2019-05-15,142.64
2019-05-16,142.59
2019-05-17,142.53
2019-05-18,142.45
2019-05-19,142.38
2019-05-20,142.33
2019-05-21,142.26
2019-05-22,142.18
2019-05-23,142.13
2019-05-24,142.07
2019-05-25,142.01
2019-05-26,141.96
2019-05-27,141.91
2019-05-28,141.89
2019-05-29,141.88
2019-05-30,141.85
2019-05-31,141.81
2019-06-01,141.77
2019-06-02,141.72
2019-06-03,141.67
2019-06-04,141.62
2019-06-05,141.57
2019-06-06,141.52
2019-06-07,141.51
2019-06-08,141.49
2019-06-09,141.45
2019-06-10,141.4
2019-06-11,141.35
2019-06-12,141.33
2019-06-13,141.3
2019-06-14,141.27
2019-06-15,141.25
2019-06-16,141.23
2019-06-17,141.23
2019-06-18,141.23
2019-06-19,141.22
2019-06-20,141.18
2019-06-21,141.15
2019-06-22,141.1
2019-06-23,141.04
2019-06-24,141.0
2019-06-25,140.96
2019-06-26,140.93
2019-06-27,140.91
2019-06-28,140.89
2019-06-29,140.88
2019-06-30,140.91
2019-07-01,140.95
2019-07-02,140.94
2019-07-03,141.01
2019-07-04,141.08
2019-07-05,141.14
2019-07-06,141.21
2019-07-07,141.28
2019-07-08,141.33
2019-07-09,141.39
2019-07-10,141.43
2019-07-11,141.45
2019-07-12,141.45
2019-07-13,141.48
2019-07-14,141.51
2019-07-15,141.51
2019-07-16,141.55
2019-07-17,141.56
2019-07-18,141.56
2019-07-19,141.58
2019-07-20,141.57
2019-07-21,141.55
2019-07-22,141.53
2019-07-23,141.52
2019-07-24,141.53
2019-07-25,141.56
2019-07-26,141.53
2019-07-27,141.55
2019-07-28,141.54
2019-07-29,141.54
2019-07-30,141.54
2019-07-31,141.58
2019-08-01,141.67
2019-08-02,141.84
2019-08-03,141.97
2019-08-04,142.13
2019-08-05,142.46
2019-08-06,143.07
2019-08-07,143.39
2019-08-08,143.73
2019-08-09,144.2
2019-08-10,144.63
2019-08-11,145.27
2019-08-12,145.79
2019-08-13,146.15
2019-08-14,146.41
2019-08-15,146.57
2019-08-16,146.71
2019-08-17,146.82
2019-08-18,146.92
2019-08-19,147.02
2019-08-20,147.13
2019-08-21,147.27
2019-08-22,147.42
2019-08-23,147.6
2019-08-24,147.82
2019-08-25,148.04
2019-08-26,148.37
2019-08-27,148.74
2019-08-28,149.01
2019-08-29,149.2
2019-08-30,149.33
2019-08-31,149.56
2019-09-01,149.76
2019-09-02,150.01
2019-09-03,150.31
2019-09-04,150.57
2019-09-05,150.91
2019-09-06,151.26
2019-09-07,151.52
2019-09-08,151.78
2019-09-09,151.95
2019-09-10,152.08
2019-09-11,152.16
2019-09-12,152.23
2019-09-13,152.31
2019-09-14,152.36
2019-09-15,152.41
2019-09-16,152.47
2019-09-17,152.51
2019-09-18,152.53
2019-09-19,152.53
2019-09-20,152.56
2019-09-21,152.63
2019-09-22,152.67
2019-09-23,152.69
2019-09-24,152.69
2019-09-25,152.71
2019-09-26,152.71
2019-09-27,152.68
2019-09-28,152.67
2019-09-29,152.67
2019-09-30,152.68
2019-10-01,152.66
2019-10-02,152.64
2019-10-03,152.62
2019-10-04,152.6
2019-10-05,152.57
2019-10-06,152.56
2019-10-07,152.54
2019-10-08,152.52
2019-10-09,152.5
2019-10-10,152.5
2019-10-11,152.5
2019-10-12,152.48
2019-10-13,152.48
2019-10-14,152.47
2019-10-15,152.45
2019-10-16,152.45
2019-10-17,152.44
2019-10-18,152.42
2019-10-19,152.41
2019-10-20,152.39
2019-10-21,152.37
2019-10-22,152.35
2019-10-23,152.31
2019-10-24,152.29
2019-10-25,152.27
2019-10-26,152.24
2019-10-27,152.21
2019-10-28,152.18
2019-10-29,152.14
2019-10-30,152.12
2019-10-31,152.09
2019-11-01,152.05
2019-11-02,152.01
2019-11-03,151.98
2019-11-04,151.96
2019-11-05,151.92
2019-11-06,151.89
2019-11-07,151.86
2019-11-08,151.83
2019-11-09,151.78
2019-11-10,151.75
2019-11-11,151.73
2019-11-12,151.7
2019-11-13,151.67
2019-11-14,151.63
2019-11-15,151.59
