,A1,A2,A3,A4,A5,A6,A7,P1,P2,P3,P4,P5,P6,P7
0,151.49,151.44,151.4,151.36,151.32,151.29,151.24,151.88136,151.8759,151.84386,151.8652,151.69257,151.5175,151.50984
1,151.44,151.4,151.36,151.32,151.29,151.24,151.2,151.90292,151.93652,151.88943,151.8705,151.70407,151.5236,151.47218
2,151.4,151.36,151.32,151.29,151.24,151.2,151.17,151.78702,151.77219,151.66646,151.72382,151.67685,151.6759,151.70248
3,151.36,151.32,151.29,151.24,151.2,151.17,151.13,151.74542,151.61926,151.47942,151.55946,151.4908,151.50845,151.56053
4,151.32,151.29,151.24,151.2,151.17,151.13,151.1,151.77353,151.70096,151.61162,151.74686,151.77855,151.86375,151.94307
5,151.29,151.24,151.2,151.17,151.13,151.1,151.06,151.66803,151.67859,151.6514,151.83508,151.93579,152.05238,152.12009
6,151.24,151.2,151.17,151.13,151.1,151.06,151.03,151.72986,151.88812,152.02791,152.14815,152.16763,152.16321,152.15587
7,151.2,151.17,151.13,151.1,151.06,151.03,150.99999999999997,151.75523,151.88344,151.93466,151.98055,151.92093,151.85425,151.79872
8,151.17,151.13,151.1,151.06,151.03,150.99999999999997,150.95,151.25372,151.23578,151.17398,151.28313,151.37183,151.51778,151.5239
9,151.13,151.1,151.06,151.03,150.99999999999997,150.95,150.92,150.74748,150.60645,150.50206,150.54799,150.59308,150.68822,150.72108
10,151.1,151.06,151.03,150.99999999999997,150.95,150.92,150.87,150.29955,150.09967,150.07718,150.25146,150.35379,150.59206,150.7037
11,151.06,151.03,150.99999999999997,150.95,150.92,150.87,150.82,149.88512,149.63527,149.59502,149.7717,149.87962,150.19336,150.26534
12,151.03,150.99999999999997,150.95,150.92,150.87,150.82,150.76,149.42126,149.2488,149.42603,149.75189,149.97374,150.4278,150.5961
13,150.99999999999997,150.95,150.92,150.87,150.82,150.76,150.72,148.93538,149.00064,149.30078,149.54149,149.63698,149.96405,150.04
14,150.95,150.92,150.87,150.82,150.76,150.72,150.67,148.53488,148.6639,148.85722,149.07346,149.15213,149.43575,149.48845
15,150.92,150.87,150.82,150.76,150.72,150.67,150.62,148.17856,148.3281,148.42778,148.65591,148.8718,149.20819,149.33122
16,150.87,150.82,150.76,150.72,150.67,150.62,150.59,148.21161,148.34123,148.45078,148.77223,149.09688,149.5845,149.7983
17,150.82,150.76,150.72,150.67,150.62,150.59,150.56,148.1782,148.3068,148.40244,148.71428,149.01945,149.48756,149.68039
18,150.76,150.72,150.67,150.62,150.59,150.56,150.52,148.10666,148.21104,148.27153,148.47603,148.67752,149.05428,149.1817
19,150.72,150.67,150.62,150.59,150.56,150.52,150.49,147.9243,148.13353,147.94907,148.17215,148.67732,149.26465,149.49416
20,150.67,150.62,150.59,150.56,150.52,150.49,150.45,147.96161,148.12215,147.84732,147.95897,148.41632,149.24571,149.64726
21,150.62,150.59,150.56,150.52,150.49,150.45,150.39,147.91968,148.00253,148.00403,147.7638,147.29466,147.34581,147.43419
22,150.59,150.56,150.52,150.49,150.45,150.39,150.35,147.9374,147.77753,147.76462,147.77817,147.61354,147.8341,148.07889
23,150.56,150.52,150.49,150.45,150.39,150.35,150.32,148.05333,147.5405,147.60806,147.9648,148.17485,148.444,148.7874
