,A1,P1,A2,A3,A4,A5,A6
0,0.787649279,0.05135094,0.705592734,0.581442517,0.429728438,0.325467129,0.375600554
1,0.533402923,0.51941663,0.674535193,0.786107558,0.783641067,0.699718157,0.611621991
2,0.55664662,0.7359287,0.473449567,0.348062439,0.216587208,0.087450101,0.039869618
3,0.114623417,0.118496284,0.639365102,0.84009332,0.970848121,0.986620302,0.955444014
4,0.909526415,0.90282434,0.833944402,0.709469507,0.571118752,0.468682097,0.413892073
5,0.639365102,0.6193791,0.877991222,0.941750601,0.965936097,0.948755147,0.905596796
6,0.886891809,0.8954454,0.173037204,0.074059923,0.040499012,0,0.048498406
7,0.312911996,0.30509627,0.621858649,0.768322102,0.88915134,0.882567263,0.820107932
8,0.745700595,0.74183357,0.677511541,0.553365388,0.38441207,0.200072984,0.174580235
9,0.350872116,0.34389728,0.709056897,0.868395747,0.949981843,0.910950902,0.860190047
10,0.805784471,0.80610853,0.722937575,0.598890026,0.425891165,0.225477971,0.120736594
11,0.183863305,0.17609708,0.577159232,0.716569674,0.876439022,0.872070595,0.845846937
12,0.778945172,0.7741497,0.66759731,0.540987088,0.402542678,0.262141317,0.14976993
13,0.146138962,0.1470665,0.26345774,0.392167829,0.471982977,0.469766017,0.446813767
14,0.415750128,0.41762567,0.373101831,0.314798213,0.231164785,0.141089401,0.06553265
15,0.149852452,0.13991967,0.278626069,0.403415708,0.502575062,0.492586625,0.44915189
16,0.398361563,0.39544177,0.336021544,0.267289118,0.182173569,0.093678547,0.050894164
17,0.087233971,0.08212836,0.216380903,0.36017025,0.499588551,0.561251479,0.556194714
18,0.513145737,0.5104448,0.448563851,0.364409654,0.269496909,0.181584126,0.178945387
19,0.277663313,0.27269027,0.552815242,0.682602701,0.76411086,0.790289983,0.763875083
20,0.724126986,0.56099826,0.660571011,0.557943395,0.437362378,0.339024315,0.366728129
21,0.574310258,0.17457579,0.930078323,1,0.938939614,0.905205144,0.85510119
22,0.805882711,0.632882,0.735075887,0.621563928,0.482536624,0.345920796,0.26314206
23,0.272181494,0.096404865,0.551754244,0.918808175,0.941827884,0.889673324,0.818182419
24,0.741201181,0.70738727,0.640356992,0.505090018,0.370240554,0.239172694,0.167555386
